#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321ABEE93
#Date Time: 2025-11-14 14:33:51.375
#Trace: Trace 1
#Start: 0 Hz
#Stop: 800 Hz
#BINs: 4097
#Rate: 1600 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 800 Hz
#BINs: 4097
#Rate: 1600 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.54142 V
#Offset: 0.000189613 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.53544 V
#Offset: -9.42583e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-41.73863084797087,0,-47.38100765750187,0
0.1953125,-42.04635180277563,179.481315798075,-47.71318081571781,179.0570350558693
0.390625,-45.42792934981438,179.2045648121674,-51.05344723315749,177.2681912441064
0.5859375,-55.04393104975509,179.1273788283425,-60.33925255898727,175.5962134563545
0.78125,-70.45080056078264,5.296123817896666,-75.40211039441374,7.146028483839433
0.9765625,-77.61282443430423,39.22836940442604,-82.67854045643459,48.58154341735997
1.171875,-78.06523403755682,68.02241170619902,-84.1090351407715,71.82480196769615
1.3671875,-81.01245837164899,61.04160717993325,-88.54264391812177,108.5349540768548
1.5625,-86.69317767275965,16.01839517771424,-87.43683599043271,7.788641950650105
1.7578125,-88.30314775601862,5.344287103983888,-82.9697510848999,14.05214766943451
1.953125,-90.74421531296389,152.1134102718492,-83.46361806833232,2.861830384239361
2.1484375,-80.46385015152202,118.1502893780407,-93.45384722770609,44.5319165851302
2.34375,-77.43536862239986,129.533874367389,-84.76972651589088,155.7511588683701
2.5390625,-77.86407052142395,138.6215651697197,-80.11001856158595,173.6168646751029
2.734375,-77.56561067394895,131.9404038769525,-79.69194068506087,176.4028731620035
2.9296875,-78.06602815794459,118.8697061705291,-85.45272300780124,5.314269527179238
3.125,-79.38031187109698,92.49728405001967,-90.71662629065123,138.3340677452099
3.3203125,-77.24370527682974,65.97705434123991,-83.51669877766015,168.4645512601793
3.515625,-74.10172369008508,74.37063635314905,-81.85727563180146,36.64167690521771
3.7109375,-71.86100746280853,94.37354327463615,-77.96855154317109,75.56777487017361
3.90625,-71.65728991775109,111.7154215256592,-77.7397816918817,98.51232876763156
4.1015625,-71.79827219944256,124.9652300590181,-77.35284260691516,118.3167115789328
4.296875,-73.13585227632962,128.5867506162294,-79.06505497414149,135.9957792388437
4.4921875,-78.16021600147029,127.4129333910946,-83.92430660997331,7.082200822087728
4.6875,-85.58843902704041,59.93071379299977,-86.63639808838737,92.57294700526469
4.8828125,-77.94837123608198,17.72048071474073,-82.39547792303827,149.7383888992107
5.078125,-76.76295613631511,20.72910300578354,-83.61138233718353,170.6754781629286
5.2734375,-79.13146374346265,16.90878942789047,-87.21973406246295,26.30837840875185
5.46875,-87.51391709359126,160.5140935256933,-84.50329204662401,139.0964550008411
5.6640625,-84.88477705995835,44.07563984119714,-75.60081849402997,161.8909673076171
5.859375,-83.67567387920496,35.25333496560084,-74.97480797490361,166.223098890321
6.0546875,-97.89422760261303,28.30179367163802,-78.73500011210425,163.2267255965789
6.25,-82.61972192224748,44.64800884974554,-83.53024092971293,146.2908303499446
6.4453125,-76.35975210277206,42.87804900012895,-95.43539965604975,109.6778785870171
6.640625,-77.17008389734919,45.76257680851635,-91.92400255359404,128.620380672434
6.8359375,-87.25341791714652,53.84806192644545,-84.4606468379525,81.31973547551553
7.03125,-88.57084562385509,35.32210847386664,-79.75267745764725,85.41476799091613
7.2265625,-80.63630349435496,20.82912598354494,-77.46250522232556,101.0127895762466
7.421875,-76.51493581053602,6.679758581285872,-77.835614328009,108.2592596400425
7.6171875,-75.09790456551512,173.2074039678682,-80.39596798272193,109.0499726715877
7.8125,-74.60294434122889,157.241507266764,-86.83459770360132,94.34256107260813
8.0078125,-74.14392845285612,145.0811644359494,-84.79695709906349,152.2183156070494
8.203125,-74.95879459161381,131.8416121288379,-78.05800003074881,130.8746471871686
8.3984375,-77.06283160384172,106.0476950931065,-76.2213535516393,116.574445979079
8.59375,-79.51218383071988,84.75506735849811,-76.43073606573294,108.7544782558444
