#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321ABEE93
#Date Time: 2025-11-14 14:29:06.091
#Trace: Trace 1
#Start: 0 Hz
#Stop: 800 Hz
#BINs: 4097
#Rate: 1600 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 800 Hz
#BINs: 4097
#Rate: 1600 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.54142 V
#Offset: 0.000189613 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.53544 V
#Offset: -9.42583e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-43.58412117188838,0,-46.20670540954788,0
0.1953125,-43.89476340486198,0.3515575375811714,-46.49594874614932,0.637129949599695
0.390625,-47.33888452228183,0.3238517032001972,-49.97040171514143,1.196704431812761
0.5859375,-57.56965652109229,0.7086826561084945,-60.56036700747789,3.75368827674342
0.78125,-81.53505058029387,12.14413465241951,-85.24053761397064,67.60747352581767
0.9765625,-83.76074445628856,173.5359716190278,-82.62869391095697,140.5469136671388
1.171875,-79.28607571576244,169.1812603506372,-82.22313215631348,133.0041486006935
1.3671875,-79.23848985678509,152.5604087991952,-83.69148040094606,79.89456233460102
1.5625,-82.85947086606092,69.34720140900642,-74.54514714208747,23.21358085730409
1.7578125,-73.98532003517252,17.8553789460305,-69.78566872661698,13.43545816465766
1.953125,-70.13897994627108,12.40955816819448,-68.4137104288873,9.56086922361613
2.1484375,-69.21388789697556,13.39319230967616,-68.41949548974054,7.279974081014177
2.34375,-71.37835134671035,10.89377717667268,-71.18860915196704,1.748671313904714
2.5390625,-77.69065274551765,2.660530181015236,-78.81582624759875,158.3296989844431
2.734375,-88.74630625941769,117.8800435493501,-82.39678195072855,73.98816943536993
2.9296875,-83.10549654873594,58.12116976691925,-78.85221687124886,43.51636289791836
3.125,-82.28756305844644,55.50883880480412,-79.42156948723495,27.36775734673449
3.3203125,-84.41781784789838,61.99063099028691,-83.45778099071256,20.55582096046853
3.515625,-87.08500267980122,70.54576024011277,-85.2198993824733,76.87638661153947
3.7109375,-83.35605650342956,67.11733632694173,-78.337595297939,98.48953758911075
3.90625,-79.40117758391438,66.42209564320682,-76.08028577307596,95.97507503782346
4.1015625,-77.58181545090268,68.3820077904609,-76.18627442004156,87.74999290780322
4.296875,-76.3648436512955,68.43977440363402,-77.995234111996,82.45375310161181
4.4921875,-76.69296414500231,69.69834141817695,-85.26863432068856,80.43145628220205
4.6875,-77.260083417137,67.21076491463921,-97.58054414722821,80.23714895252881
